Name;SKU;ASIN;FBA stock;ROI,%;October 2023;;;;;Totals;;;;
;;;;;Sales;Quantity;Net profit;Refunds;% Refunds;Sales;Quantity;Refunds;% Refunds;Budget
SmellWell - Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 2 x 1.8oz Original Size Camo Green;G2-8BYT-BTMD;B07VYVYYRX;0;11;4,662.13;363;180.12;6;1.65;4,662.13;363;6;1.65;
SmellWell - Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 2;HW-L5A0-F1BN;B07VWSMRBH;927;170;4,601.64;357;1,420.60;6;1.68;4,601.64;357;6;1.68;
SmellWell - 3-Pack Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 6 x 1.8oz Original Size Camo Green;1510-3;B0BXPGVPD2;0;127;4,043.25;135;1,203.40;0;0.00;4,043.25;135;0;0.00;
SmellWell - 3-Pack Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for Shoes, Bags, Gloves - 6 x 1.8oz Original Size Black Zebra;1514-3;B09739J698;0;-39;3,564.05;120;-332.81;1;0.83;3,564.05;120;1;0.83;
SmellWell - Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 2 x 1.8oz Original Size Hawaii Floral;RX-EN0R-CPO2;B07VZW1YK6;95;-163;3,119.24;242;-928.69;3;1.24;3,119.24;242;3;1.24;
SmellWell - Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 2 x 1.8oz Original Size Pink Zebra;72-51XS-IH64;B07VYVYPBW;0;-121;2,171.29;168;-474.73;4;2.38;2,171.29;168;4;2.38;
SmellWell - Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 2 x 1.8oz Original Size Geometric Orange;1516;B07W43Q5VL;182;150;1,217.30;94;329.65;0;0.00;1,217.30;94;0;0.00;
SmellWell - XL Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshener Inserts for Shoes, Boots, Bags, Cars - 2 x 4.4oz XL Size Tropical Floral;2510;B07W44PRLN;0;69;969.30;54;152.57;0;0.00;969.30;54;0;0.00;
SmellWell - XL Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshener Inserts for Shoes, Boots, Bags, Cars - 2 x 4.4oz XL Size Camo Grey;4X-K06O-8IQX;B07VXS6L9F;0;62;664.15;37;94.54;1;2.70;664.15;37;1;2.70;
SmellWell - XL Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshener Inserts for Shoes, Boots, Bags, Cars - 2 x 4.4oz XL Size Silver Grey;BT-FOQ3-UXY1;B07W7LQYSZ;0;72;376.95;21;62.28;0;0.00;376.95;21;0;0.00;
SmellWell Odour Eliminating Air Purifying Bags (2 Pack | 250g) Activated Bamboo Charcoal Air Freshener for use from Gym to Car to Home (Black Stone, XL);2511;B07P3FHFTF;0;133;35.90;2;10.95;0;0.00;35.90;2;0;0.00;
SmellWell Freshener Bag XL - Black - The Ultimate Shoebag With Built In Activated Bamboo Charcoal Inserts for Odor Eliminating and Moisture Absorbing - Keep shoes and gear fresh longer;6109;B09FVFKGT7;0;-357;34.95;1;-32.77;1;100.00;34.95;1;1;100.00;
SmellWell Odor Eliminating Air Purifying Bags (2 Pack | 100g) Activated Bamboo Charcoal Air Freshener for use from Gym to Car to Home (Green, Unscented);SI-S6Z8-669M;B07VXS5PXQ;0;-3,257;29.85;3;-228.61;0;0.00;29.85;3;0;0.00;
SmellWell - Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 2 x 1.8oz Original Size Black Zebra;HW-L5A0-F1BN;B07P15RVRP;927;38;12.95;1;139.94;0;0.00;12.95;1;0;0.00;
SmellWell - Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 2 x 1.8oz Original Size Black Zebra;FBA178QC24LL.MISSING3;B07P15RVRP;927;0;0.00;0;0.00;0;0.00;0.00;0;0;0.00;
SmellWell - Scented Shoe Deodorizer Inserts - Odor Eliminators - Activated Bamboo Charcoal + Minerals - Natural Freshenes for shoes, bags, gloves - 2 x 1.8oz Original Size Camo Green;FBA178QC24LL.MISSING2;B07P3FHFT7;0;0;0.00;0;0.00;0;0.00;0.00;0;0;0.00;
SmellWell Odour Eliminating Air Purifying Bags (2 Pack | 250g) Activated Bamboo Charcoal Air Freshener for use from Gym to Car to Home (Black Stone, XL);U6-M8SI-RQ6A;B07P3FHFTF;0;167;0.00;0;-13.80;0;0.00;0.00;0;0;0.00;
SmellWell Odor Eliminating Air Purifying Bags (2 Pack | 100g) Activated Bamboo Charcoal Air Freshener for use from Gym to Car to Home (Blue, Unscented);3W-7YOB-UPKF;B07VWSN19P;0;0;0.00;0;-13.56;0;0.00;0.00;0;0;0.00;
SmellWell Freshener Bag - Black - The Ultimate Shoebag With Built In Activated Bamboo Charcoal Inserts for Odor Eliminating and Moisture Absorbing - Keep shoes and smaller gear fresh longer;6009;B09FVML51L;0;0;0.00;0;-24.12;1;0.00;0.00;0;1;0.00;
Totals;0.00;0.00;0.00;0.00;25,502.95;1,598;1,544.96;23;1.44;25,502.95;1,598;23;1.44;13,515
