Date,DailySales,MonthlyGoal,RemainingGoalPercentage
2024-09-01,700,19500,3.59%
2024-09-02,900,19500,8.21%
2024-09-03,800,19500,12.31%
2024-09-04,850,19500,16.67%
2024-09-05,1000,19500,21.79%
2024-09-06,950,19500,26.67%
2024-09-07,780,19500,30.67%
2024-09-08,920,19500,35.38%
2024-09-09,890,19500,39.95%
2024-09-10,1000,19500,45.08%
2024-09-11,920,19500,49.79%
2024-09-12,850,19500,54.15%
2024-09-13,900,19500,58.77%
2024-09-14,1100,19500,64.41%
2024-09-15,1000,19500,69.54%
2024-09-16,950,19500,74.41%
2024-09-17,930,19500,79.18%
2024-09-18,870,19500,83.64%
2024-09-19,920,19500,88.36%
2024-09-20,900,19500,92.97%
2024-09-21,880,19500,97.49%
2024-09-22,950,19500,102.36%
2024-09-23,990,19500,107.44%
2024-09-24,920,19500,112.15%
2024-09-25,860,19500,116.56%
2024-09-26,870,19500,121.03%
2024-09-27,900,19500,125.64%
2024-09-28,930,19500,130.41%
2024-09-29,940,19500,135.23%
2024-09-30,1000,19500,140.36%
